"","playerG","playerA","assists"
"160","Hedman ","Johnson ",0
"161","Johnson ","Johnson ",0
"162","Gourde ","Johnson ",0
"163","Stralman ","Johnson ",0
"164","Coburn ","Johnson ",0
"165","Kunitz ","Johnson ",0
"166","Koekkoek ","Johnson ",1
"167","Callahan ","Johnson ",0
"168","Brown ","Johnson ",0
"169","Dotchin ","Johnson ",0
"170","Girardi ","Johnson ",0
"171","Paquette ","Johnson ",0
"172","Stamkos ","Gourde ",1
"173","Kucherov ","Gourde ",0
"174","Point ","Gourde ",2
"175","Namestnikov ","Gourde ",0
"176","Sergachev ","Gourde ",0
"177","Killorn ","Gourde ",0
"178","Palat ","Gourde ",1
"179","Hedman ","Gourde ",0
"180","Johnson ","Gourde ",1
"181","Gourde ","Gourde ",0
"182","Stralman ","Gourde ",0
"183","Coburn ","Gourde ",0
"184","Kunitz ","Gourde ",0
"185","Koekkoek ","Gourde ",0
"186","Callahan ","Gourde ",0
"187","Brown ","Gourde ",0
"188","Dotchin ","Gourde ",0
"189","Girardi ","Gourde ",0
"190","Paquette ","Gourde ",0
"191","Stamkos ","Stralman ",0
"192","Kucherov ","Stralman ",1
"193","Point ","Stralman ",0
"194","Namestnikov ","Stralman ",0
"195","Sergachev ","Stralman ",0
"196","Killorn ","Stralman ",0
"197","Palat ","Stralman ",0
"198","Hedman ","Stralman ",0
"199","Johnson ","Stralman ",0
"200","Gourde ","Stralman ",0
"201","Stralman ","Stralman ",0
"202","Coburn ","Stralman ",0
"203","Kunitz ","Stralman ",1
"204","Koekkoek ","Stralman ",1
"205","Callahan ","Stralman ",0
"206","Brown ","Stralman ",0
"207","Dotchin ","Stralman ",0
"208","Girardi ","Stralman ",0
"209","Paquette ","Stralman ",0
"210","Stamkos ","Coburn ",0
"211","Kucherov ","Coburn ",2
"212","Point ","Coburn ",1
"213","Namestnikov ","Coburn ",0
"214","Sergachev ","Coburn ",0
"215","Killorn ","Coburn ",1
"216","Palat ","Coburn ",0
"217","Hedman ","Coburn ",0
"218","Johnson ","Coburn ",0
"219","Gourde ","Coburn ",1
"220","Stralman ","Coburn ",0
"221","Coburn ","Coburn ",0
"222","Kunitz ","Coburn ",0
"223","Koekkoek ","Coburn ",0
"224","Callahan ","Coburn ",0
"225","Brown ","Coburn ",0
"226","Dotchin ","Coburn ",0
"227","Girardi ","Coburn ",0
"228","Paquette ","Coburn ",0
"229","Stamkos ","Kunitz ",0
"230","Kucherov ","Kunitz ",0
"231","Point ","Kunitz ",0
"232","Namestnikov ","Kunitz ",0
"233","Sergachev ","Kunitz ",0
"234","Killorn ","Kunitz ",0
"235","Palat ","Kunitz ",0
"236","Hedman ","Kunitz ",0
"237","Johnson ","Kunitz ",0
"238","Gourde ","Kunitz ",0
"239","Stralman ","Kunitz ",0
"240","Coburn ","Kunitz ",0
"241","Kunitz ","Kunitz ",0
"242","Koekkoek ","Kunitz ",1
"243","Callahan ","Kunitz ",1
"244","Brown ","Kunitz ",0
"245","Dotchin ","Kunitz ",0
"246","Girardi ","Kunitz ",0
"247","Paquette ","Kunitz ",0
"248","Stamkos ","Koekkoek ",0
"249","Kucherov ","Koekkoek ",0
"250","Point ","Koekkoek ",0
"251","Namestnikov ","Koekkoek ",0
"252","Sergachev ","Koekkoek ",0
"253","Killorn ","Koekkoek ",0
"254","Palat ","Koekkoek ",0
"255","Hedman ","Koekkoek ",0
"256","Johnson ","Koekkoek ",0
"257","Gourde ","Koekkoek ",0
"258","Stralman ","Koekkoek ",0
"259","Coburn ","Koekkoek ",0
"260","Kunitz ","Koekkoek ",0
"261","Koekkoek ","Koekkoek ",0
"262","Callahan ","Koekkoek ",0
"263","Brown ","Koekkoek ",0
"264","Dotchin ","Koekkoek ",0
"265","Girardi ","Koekkoek ",0
"266","Paquette ","Koekkoek ",0
"267","Stamkos ","Callahan ",0
"268","Kucherov ","Callahan ",0
"269","Point ","Callahan ",0
"270","Namestnikov ","Callahan ",0
"271","Sergachev ","Callahan ",0
"272","Killorn ","Callahan ",0
"273","Palat ","Callahan ",0
"274","Hedman ","Callahan ",0
"275","Johnson ","Callahan ",0
"276","Gourde ","Callahan ",0
"277","Stralman ","Callahan ",0
"278","Coburn ","Callahan ",0
"279","Kunitz ","Callahan ",1
"280","Koekkoek ","Callahan ",0
"281","Callahan ","Callahan ",0
"282","Brown ","Callahan ",0
"283","Dotchin ","Callahan ",0
"284","Girardi ","Callahan ",0
"285","Paquette ","Callahan ",0
"286","Stamkos ","Brown ",0
"287","Kucherov ","Brown ",0
"288","Point ","Brown ",0
